,address,location
250,서울특별시 강남구 도곡동 954-18,도곡스타점
251,서울특별시 강남구 남부순환로 2747 1층 101호(도곡동),도곡시네마점
252,서울특별시 강남구 언주로 30길 39 (도곡동),도곡SEI점
253,서울특별시 강남구 삼성동 테헤란로 607,롯데캐논점
254,서울특별시 강남구 테헤란로37길 15 (역삼동),르네상스점
255,"서울특별시 강남구 도산대로 35길 46 (신사동, 리갈펠리스)",리갈펠리스점
256,서울특별시 강남구 논현로38길 46 1층 전체(도곡동),매봉역점
257,서울특별시 강남구 논현로28길 56 1층(도곡동),매봉점
258,서울특별시 강남구 삼성로 115길 46 (삼성동),삼성10호점
259,서울특별시 강남구 봉은사로 114길 40 (삼성동),삼성5호점
260,서울특별시 강남구 봉은사로 63길 11 (삼성동),삼성8호점
261,서울특별시 강남구 봉은사로 638 (삼성동),삼성대웅점
262,서울특별시 강남구 선릉로 130길 20 (삼성동 래미안삼성2차아파트상가),삼성동래미안점
263,서울특별시 강남구 삼성동 156-13,삼성예술점
264,서울특별시 강남구 테헤란로87길 9 1층(삼성동),삼성페이토점
265,서울특별시 강남구 영동대로96길 12 (삼성동 상민빌딩),삼성한전점
266,서울특별시 강남구 봉은사로50길 19 제지하1층(역삼동),선릉스타점
267,서울특별시 강남구 선릉로 510 오성빌딩 1층 101호(삼성동),선릉오성점
268,서울특별시 강남구 헌릉로590길 11 103호,세곡리엔점
269,서울특별시 강남구 자곡로 191 지1층 06호(강남푸르지오시티 1차),세곡푸르지오점
270,서울특별시 강남구 논현로 12길 19-9(개포동),세븐포이3호점
271,서울특별시 강남구 광평로 295 (수서동),수서사이룩스점
272,서울특별시 강남구 광평로 지하 270 수서역사 지하1층 맞이방층 (수서동),수서역사1호점
273,서울특별시 강남구 광평로 지하 270 수서역사 지하2층 1번승강장 (수서동),수서역사2호점
274,서울특별시 강남구 광평로 지하 270 수서역사 지하2층 3번승강장 (수서동),수서역사3호점
275,서울특별시 강남구 광평로 지하 270 수서역사 지하2층 5번승강장(수서동),수서역사4호점
276,서울특별시 강남구 광평로 지하 270 지하2층 맞이방 내 일부(승강장입구)(수서동),수서역사5호점
277,서울특별시 강남구 광평로 281 (수서동),수서효성점
278,"서울특별시 강남구 봉은사로 140 1층 101,102,103,116,117,118호(역삼동)",신논현강남점
279,서울특별시 강남구 도산대로15길 7 (신사동),신사4호점
280,서울특별시 강남구 강남대로162길 45 (신사동),신사5호점
281,서울특별시 강남구 압구정로 114 신사빌딩 1층,신사가로수점
282,"서울특별시 강남구 도산대로 157 지상1층(신사동, 신웅타워2)",신사대로점
283,서울특별시 강남구 언주로172길 15 1층(신사동),신사로데오점
284,서울특별시 강남구 도산대로 124 대영빌딩 1층,신사본점
285,서울특별시 강남구 논현로 159길 10 (신사동),신사한나래점
286,서울특별시 강남구 강남대로 632 (신사동) 106호,신사한남점
287,서울특별시 강남구 압구정로18길 5 (신사동),압구정11호점
288,서울특별시 강남구 선릉로 157길 31 (신사동),압구정12호점
289,서울특별시 강남구 압구정로28길 28 1층 지상 전체(신사동),압구정2점
290,서울특별시 강남구 언주로 167길 21 (신사동),압구정8호점
291,서울특별시 강남구 압구정로 344 (신사동),압구정로데오점
292,서울특별시 강남구 논현로157길 26 1층 101호(신사동),압구정본점
293,"서울특별시 강남구 논현로 164길 38 (신사동, 칼릭스빌)",압구정칼릭스점
294,서울특별시 강남구 테헤란로19길 10 (역삼동),역삼10호점
295,서울특별시 강남구 논현로 105길 53 (역삼동),역삼14호점
296,서울특별시 강남구 강남대로62길 18(역삼동),역삼15호점
297,서울특별시 강남구 논현로76길 10  (역삼동),역삼17호점
298,서울특별시 강남구 도곡로37길 14(역삼동),역삼18호점
299,서울특별시 강남구 언주로71길 9(역삼동),역삼22호점
300,서울특별시 강남구 역삼로 151  (역삼동),역삼5호점
301,서울특별시 강남구 강남대로102길 11  (역삼동),역삼8호점
302,"서울특별시 강남구 역삼로 306(역삼동, 개나리래미안 상가 1동 108호)",역삼개나리점
303,서울특별시 강남구 테헤란로19길 29 ,역삼달샘점
304,"서울특별시 강남구 언주로 314 제1층 102호(역삼동, 강남프라자)",역삼래미안점
305,서울특별시 강남구 논현로 425 1층 104호(역삼동),역삼명랑점
306,서울 강남구 역삼동 832-10,역삼발렌타인점
307,서울특별시 강남구 봉은사로48길 13 101호(역삼동),역삼선릉로점
308,"서울특별시 강남구 논현로64길 33 1층 3,4호(역삼동)",역삼세브란스점
309,서울특별시 강남구 논현로102길 54 ,역삼스마일점
310,서울특별시 강남구 논현로79길 25 한스빌라텔,역삼스타공원점
311,서울특별시 강남구 언주로85길 24 1층 (역삼동),역삼언주로점
312,서울특별시 강남구 역삼로19길 26 (역삼동),역삼영화점
313,서울특별시 강남구 봉은사로44길 39 지하1층(역삼동),역삼우일점
314,서울특별시 강남구 논현로63길 7 ,역삼웰스토어점
315,서울특별시 강남구 언주로79길 33 (역삼동),역삼은석점
316,서울특별시 강남구 테헤란로14길 5  (역삼동),역삼은탑점 B
317,"서울특별시 강남구 선릉로85길 8 1층 102호(역삼동, 유화빌딩)",역삼진선점
318,"서울특별시 강남구 논현로85길 13 1층(역삼동, 근영빌딩)",역삼창조점
319,서울특별시 강남구 언주로 93길 28-8(역삼동) 코넬빌딩 1층,역삼코넬점
320,서울특별시 강남구 강남대로84길 28 청송빌딩 1층 전체(역삼동),역삼타운점
321,서울특별시 강남구 논현로94길 23 1층(역삼동),역삼테헤란점
322,서울특별시 강남구 테헤란로8길 46 (역삼동),역삼특허점
323,"서울특별시 강남구 테헤란로8길 28 1층(역삼동, 송강원)",역삼포은점
324,서울특별시 강남구 강남대로78길 12  (역삼동),역삼프레스티점
325,서울특별시 강남구 테헤란로25길 6-9 1층(역삼동),역삼하이츠점
326,서울특별시 강남구 테헤란로 38길 11(역삼동),역삼한서점
327,서울특별시 강남구 테헤란로 204 1층(역삼동),역삼한은점
328,서울특별시 강남구 언주로 107길 29 (역삼동),역삼해피점
329,서울 강남구 역삼동 테헤란로 152 비2층 강남파이낸스센터,역삼GFC점
330,서울특별시 강남구 테헤란로 335 1층(역삼동),역삼MG스타점
331,서울특별시 강남구 일원로3길 42 ,일원대청점
332,"서울특별시 강남구 일원로5길 58 1층 102,103호",일원미래점
333,서울특별시 강남구 선릉로132길 7 (청담동),청담2점 B
334,서울특별시 강남구 도산대로 96길 13 (청담동),청담7호점
335,서울특별시 강남구 도산대로 81길 39 (청담동),청담그린점
336,서울특별시 강남구 도산대로99길 26 1층 102호(청담동),청담대우점
337,서울특별시 강남구 학동로 523,청담루나점
338,"서울특별시 강남구 영동대로128길 5 청구A 101호(삼성동,청구상가)",청담좋은날점
339,서울특별시 강남구 학동로97길 20 청담빌딩 1층 (청담동),청담튼튼병원점
340,서울특별시 강남구 삼성로 149길 32 (청담동),청담황해점
341,서울특별시 강남구 영동대로 517 아셈타워 1층(삼성동),코엑스아셈타워점
342,서울 강남구 삼성로 85길 11 (대치동)롯데캐슬아파트 생활편익시설동,포스코센터점
343,서울특별시 강남구 개포20길 24-16(개포동),포이4호점
344,서울특별시 강남구 개포로 24길 6(개포동),포이5호점
345,서울특별시 강남구 개포로 209(개포동),포이사거리점
346,서울특별시 강남구 논현로 18길 14-1(개포동),포이중앙점
347,서울특별시 강남구 도산대로 335 1층,학동사거리점
348,서울특별시 강남구 논현동 논현로124길 27,학동점
349,서울특별시 강남구 테헤란로 322  (역삼동),한신점
350,서울특별시 강남구 역삼동 675-3 102호202호,KT강남점
351,"서울특별시 강남구 테헤란로 415 B101, 102호(삼성동)",L7강남점
352,서울특별시 강동구 천호동 357번지 12호,가톨릭병원점
353,서울특별시 강동구 동남로 892 (상일동),강동경희대병원점
354,서울특별시 강동구 동남로75길 13-25 1층 101호,강동고덕점
355,서울특별시 강동구 상암로 171(천호동),강동구민회관점
356,서울특별시 강동구 양재대로 113길 22(길동),강동길동점
357,서울 강동구 상일동 상일로7길 6 (상일동 1층),강동상일여고점
358,서울특별시 강동구 성내로14길 42(성내동) ,강동성내로점
359,서울특별시 강동구 천호옛길 14(성내동),강동성내점
360,서울특별시 강동구 성안로 143 천호동,강동성심점
361,"서울특별시 강동구 양재대로81길 30,1층 (성내동)",강동오륜점
362,서울 강동구 길동 명일로18길 30 1층,강동자이점
363,서울특별시 강동구 천호동 447-17 강동역 신동아파밀리에테라자 B106호,강동파밀리에점
364,"서울특별시 강동구 천호대로 1077 제상가동 1층 103동 103호,104호(래미안강동팰리스)",강동팰리스점
365,서울특별시 강동구 아리수로 93가길 40(강일동),강일3단지점
366,서울특별시 강동구 상일동 상일로74 고덕리앤파크3단지상가 101호,강일리엔파크점
367,서울특별시 강동구 아리수로 419 리슈빌 오피스텔 105호(강일동),강일아리수점
